Year,Mins,TU_CodeNames
2013,13.444903581,Interior_Cleaning
2018,25.162112089,FoodPreparation_Cleanup
2011,21.262087912,FoodPreparation_Cleanup
2005,4.304751697,Laundry
2011,5.190109890,Laundry
2003,17.716416262,FoodPreparation_Cleanup
2004,4.076923077,Laundry
2003,11.187030490,Interior_Cleaning
2017,12.632485997,Interior_Cleaning
2009,19.937079050,FoodPreparation_Cleanup
2024,18.236317710,Interior_Cleaning
2018,6.660027791,Laundry
2012,19.815390173,FoodPreparation_Cleanup
2012,5.437680636,Laundry
2003,3.987516571,Laundry
2014,14.096018735,Interior_Cleaning
2014,5.788641686,Laundry
2007,5.424688562,Laundry
2008,12.891231178,Interior_Cleaning
2023,16.089178357,Interior_Cleaning
2006,12.937092096,Interior_Cleaning
2021,28.123155093,FoodPreparation_Cleanup
2007,18.673272933,FoodPreparation_Cleanup
2010,12.918974712,Interior_Cleaning
2015,12.990372541,Interior_Cleaning
2008,4.979096546,Laundry
2008,20.204428698,FoodPreparation_Cleanup
2016,24.058029979,FoodPreparation_Cleanup
2007,14.321630804,Interior_Cleaning
2018,11.609773043,Interior_Cleaning
2024,30.545326972,FoodPreparation_Cleanup
2010,21.724238775,FoodPreparation_Cleanup
2022,15.750944414,Interior_Cleaning
2015,23.781289242,FoodPreparation_Cleanup
2006,5.143038434,Laundry
2019,12.662491301,Interior_Cleaning
2012,13.715317919,Interior_Cleaning
2009,13.801311592,Interior_Cleaning
2024,5.771540836,Laundry
2006,20.208484409,FoodPreparation_Cleanup
2019,5.781025284,Laundry
2005,18.858163630,FoodPreparation_Cleanup
2016,5.421841542,Laundry
2016,13.109850107,Interior_Cleaning
2004,17.822962600,FoodPreparation_Cleanup
2014,22.995316159,FoodPreparation_Cleanup
2013,22.473632428,FoodPreparation_Cleanup
2022,27.999190502,FoodPreparation_Cleanup
2019,26.188355370,FoodPreparation_Cleanup
2009,4.772066643,Laundry
2013,5.069067296,Laundry
2017,25.339077984,FoodPreparation_Cleanup
2015,5.921096693,Laundry
2023,30.003006012,FoodPreparation_Cleanup
2022,6.152455478,Laundry
2004,11.308018945,Interior_Cleaning
2005,12.117363344,Interior_Cleaning
2021,14.709654004,Interior_Cleaning
2010,4.550318252,Laundry
2011,14.251282051,Interior_Cleaning
2021,5.304379385,Laundry
2017,5.575829384,Laundry
2023,6.275300601,Laundry
